path,level1_response,main_category,main_category_id,level2_response,subcategory,subcategory_id,level3_response,specific_pose,specific_pose_id,true_class_id,true_class_name
Akarna_Dhanurasana/16.jpg,"Description: The person is seated on the ground/mat with legs and arms extended outward in a wide stretch.
Main Category: Sitting",Sitting,1,"Description: The individual is seated on the ground with one leg bent and the other leg extended, holding onto their foot while stretching the torso.
Subcategory: Sitting - Twist",Sitting - Twist,8,"Description: The person is performing a seated twist with one leg bent and the foot placed outside the opposite thigh. The torso and head are twisted towards the extended arm which is pointing backward.
Specific Pose: Akarna Dhanurasana",Akarna Dhanurasana,0,0,Akarna Dhanurasana
Akarna_Dhanurasana/95.jpg,"Description: [The person is seated on a mat, with legs extended and performing a forward bend and a side stretch]
Main Category: 1. Sitting",Sitting,1,"Description: The person is performing a sequence of movements while sitting with one leg extended forward and the other leg bent.
Subcategory: 4. Sitting - Normal1 (legs in front)",Sitting - Normal1 (legs in front),4,"Description: The images show a progression of a seated yoga pose where the person extends their legs straight out and then bends sideways.

Specific Pose: Extended Triangle Pose",Extended Triangle Pose,22,0,Akarna Dhanurasana
Akarna_Dhanurasana/263.jpg,"Description: The person is lying on their back with legs bent and hands holding feet or near feet, on a sandy beach with a hut in the background.
Main Category: 4. Reclining",Reclining,4,"Description: The person is lying on their back with one leg bent and supported by both hands.
Subcategory: 13. Reclining - Up-facing",Reclining - Up-facing,13,"Description: The person appears to be lying on their back on the beach, with arms extended and legs bent, which is a common relaxation position often seen in yoga.

Specific Pose: 12. Corpse Pose",Corpse Pose,12,0,Akarna Dhanurasana
Akarna_Dhanurasana/110.jpg,"Description: [The image provided does not depict a person or a yoga pose; it shows vertical color bars]

Main Category: Not applicable",Not applicable,Bilinmiyor,"Description: The image shows vertical colored stripes without any depiction of a person or a yoga pose.
Subcategory: Non-figurative symbol",Non-figurative symbol,Bilinmiyor,"Description: The image consists of vertical colored stripes in shades of blue, red, yellow, and black, which do not resemble any specific yoga pose.

Specific Pose: Not applicable - Non-figurative symbol",Not applicable - Non-figurative symbol,Bilinmiyor,0,Akarna Dhanurasana
Akarna_Dhanurasana/21.jpg,"Description: The person is seated on the ground with one leg extended and the other bent, holding the foot of the extended leg.

Main Category: Sitting",Sitting,1,"Description: The person is seated with one leg extended to the side and the other bent, holding their foot. This position resembles a split.
Subcategory: Sitting - Split",Sitting - Split,6,"Description: The individual is seated with their legs spread wide apart in a split position, with one leg bent and the foot held by the hand on the same side, while the other leg is extended straight. The torso is upright.

Specific Pose: 58. Split Pose",Split Pose,58,0,Akarna Dhanurasana
Akarna_Dhanurasana/55.jpg,"Description: The person is balancing on one leg with the other leg bent, holding their foot with one hand while the other arm is extended, showcasing balance and flexibility.
Main Category: 2. Balancing",Balancing,2,"Description: The individual is balancing on one foot with the other foot raised and held by their hand, leaning to the side.
Subcategory: Balancing - Side",Balancing - Side,10,"Description: The person is balancing on one hand with the other hand holding the raised foot, and the leg is bent.
Specific Pose: Side Crane (Crow) Pose",Crane (Crow) Pose,14,0,Akarna Dhanurasana
Akarna_Dhanurasana/34.jpg,"Description: The person is seated on the ground/mat with one leg extended forward and the other bent, with a hand reaching back to touch the foot.
Main Category: 1. Sitting",Sitting,1,"Description: The person is sitting with one leg folded and the other leg extended straight in front of them, placing one hand on the foot of the extended leg and the other hand behind for support.
Subcategory: 7. Sitting - Split",Sitting - Split,6,"Description: The person is seated with one leg extended forward and the other leg bent, stretching the inner thigh and groin area. The torso is upright, and one hand reaches back to hold the foot of the extended leg.

Specific Pose: 58. Split Pose",Split Pose,58,0,Akarna Dhanurasana
Akarna_Dhanurasana/107.jpg,"Description: The person is seated on the ground/mat with one leg extended forward and the other leg bent, reaching back with one hand to grasp the foot.
Main Category: Sitting",Sitting,1,"Description: The individual is sitting with legs apart in a wide split, with one arm reaching forward and the other arm reaching backward.
Subcategory: 6. Sitting - Split",Sitting - Split,6,"Description: The person is seated on the ground with their legs spread wide in a split position, stretching towards one foot with one hand.
Specific Pose: 58. Split Pose",Split Pose,58,0,Akarna Dhanurasana
Akarna_Dhanurasana/92.jpg,HATA: cannot identify image file '/home/gpu1/computer_vision/micro-action-recognition/Yoga-82/dataset/Akarna_Dhanurasana/92.jpg',,,,,,,,,0,Akarna Dhanurasana
Akarna_Dhanurasana/39.jpg,"Description: The person is seated on a mat with one leg bent and raised, holding it with their hand.
Main Category: Sitting",Sitting,1,"Description: The individual is seated on a mat with one leg bent and the other leg extended, using their arms to support their position.
Subcategory: 8. Sitting - Twist",Sitting - Twist,8,"Description: The person is seated with one leg bent and the foot placed near the opposite knee, with a twist of the torso to look over the shoulder. This is a classic twisting pose often used in yoga for flexibility and digestion.

Specific Pose: Intense Side Stretch Pose",Intense Side Stretch Pose,36,0,Akarna Dhanurasana
Akarna_Dhanurasana/680.jpg,"Description: The person is seated on the ground/mat, performing a stretch with one leg extended and the other bent while holding their foot.
Main Category: 1. Sitting",Sitting,1,"Description: The individual is seated with legs extended in opposite directions in a full split.
Subcategory: Sitting - Split",Sitting - Split,6,"Description: The image shows a person in a split position with one leg extended forward and the other leg extended backward, seated on the ground. This reflects a wide and deep stretch typical of advanced yoga poses.

Specific Pose: 58. Split Pose",Split Pose,58,0,Akarna Dhanurasana
Akarna_Dhanurasana/87.jpg,"Description: The person is seated on the ground with their legs spread apart and hands holding the feet.
Main Category: Sitting",Sitting,1,"Description: The person is seated with legs spread wide in a split position and holding their feet.
Subcategory: Sitting - Split",Sitting - Split,6,"Description: The pose shows a person sitting with their legs spread wide apart in a split position, reaching towards their feet.

Specific Pose: Split Pose",Split Pose,58,0,Akarna Dhanurasana
