Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
0,Akarna Dhanurasana,17.39,4,23,"Happy Baby Pose (7), Sınıf Bilinmiyor (4), Bharadvaja's Twist (3), King Pigeon Pose (2), Extended Puppy Pose (1)"
1,Bharadvaja's Twist,43.75,7,16,"Easy Sitting Pose (4), Bound Angle Pose (3), Reclining Hand-to-Big-Toe Pose (1), Sınıf Bilinmiyor (1)"
2,Boat Pose,34.78,32,92,"Happy Baby Pose (25), Sınıf Bilinmiyor (12), Reclining Hand-to-Big-Toe Pose (6), Plow Pose (4), Legs-Up-the-Wall Pose (2)"
3,Bound Angle Pose,50.77,33,65,"Easy Sitting Pose (13), Child Pose (9), Sınıf Bilinmiyor (5), Bharadvaja's Twist (2), Corpse Pose (1)"
4,Bow Pose,20.00,10,50,"Sınıf Bilinmiyor (11), Happy Baby Pose (11), Plow Pose (9), Upward Bow (Wheel) Pose (2), Handstand Pose (2)"
5,Bridge Pose,12.28,7,57,"Plow Pose (19), Reclining Hand-to-Big-Toe Pose (7), Sınıf Bilinmiyor (6), Upward Bow (Wheel) Pose (6), Downward-Facing Dog (2)"
6,Camel Pose,25.33,19,75,"Sınıf Bilinmiyor (23), Child Pose (13), Downward-Facing Dog (3), Bow Pose (3), Happy Baby Pose (2)"
7,Cat Cow Pose,15.96,15,94,"Child Pose (29), Dolphin Plank Pose (14), Downward-Facing Dog (11), Sınıf Bilinmiyor (8), Four-Limbed Staff Pose (8)"
8,Chair Pose,22.73,15,66,"Warrior III Pose (20), Sınıf Bilinmiyor (13), Standing Forward Bend (5), Half Lord of the Fishes Pose (3), Tree Pose (2)"
9,Child Pose,69.44,50,72,"Sınıf Bilinmiyor (12), Dolphin Plank Pose (4), Cat Cow Pose (2), Reclining Hand-to-Big-Toe Pose (1), Cobra Pose (1)"
10,Cobra Pose,22.80,44,193,"Dolphin Plank Pose (42), Sınıf Bilinmiyor (33), Plank Pose (27), Camel Pose (16), Upward Bow (Wheel) Pose (6)"
11,Cockerel Pose,5.26,2,38,"Frog Pose (8), Sınıf Bilinmiyor (6), Bound Angle Pose (6), Downward-Facing Dog (4), Child Pose (3)"
12,Corpse Pose,84.91,45,53,Sınıf Bilinmiyor (8)
13,Cow Face Pose,10.61,7,66,"Bharadvaja's Twist (17), Easy Sitting Pose (16), Sınıf Bilinmiyor (11), Bound Angle Pose (7), Seated Forward Bend (2)"
14,Crane (Crow) Pose,6.45,6,93,"Sınıf Bilinmiyor (25), Downward-Facing Dog (19), Handstand Pose (14), Dolphin Plank Pose (12), Warrior III Pose (3)"
15,Dolphin Plank Pose,20.00,2,10,"Sınıf Bilinmiyor (4), Plank Pose (4)"
16,Dolphin Pose,0.00,0,16,"Downward-Facing Dog (9), Sınıf Bilinmiyor (3), Plow Pose (2), Dolphin Plank Pose (1), Headstand Pose (1)"
17,Downward-Facing Dog,69.84,44,63,"Handstand Pose (11), Sınıf Bilinmiyor (5), Headstand Pose (1), Dolphin Plank Pose (1), Warrior III Pose (1)"
18,Eagle Pose,8.45,6,71,"Tree Pose (22), Sınıf Bilinmiyor (11), Warrior III Pose (10), Chair Pose (6), Standing Forward Bend (6)"
19,Eight-Angle Pose,9.26,5,54,"Dolphin Plank Pose (16), Sınıf Bilinmiyor (9), Handstand Pose (4), Warrior III Pose (4), Pigeon Pose (3)"
20,Extended Puppy Pose,0.00,0,14,"Downward-Facing Dog (3), Plow Pose (1), Camel Pose (1), Pigeon Pose (1), Sınıf Bilinmiyor (1)"
21,Extended Side Angle Pose,0.00,0,131,"Warrior III Pose (46), Extended Puppy Pose (44), Sınıf Bilinmiyor (23), Half Lord of the Fishes Pose (5), Standing Forward Bend (4)"
22,Extended Triangle Pose,0.00,0,134,"Extended Puppy Pose (55), Sınıf Bilinmiyor (27), Warrior III Pose (24), Standing Forward Bend (12), Half Lord of the Fishes Pose (4)"
23,Feathered Peacock Pose,2.00,1,50,"Handstand Pose (39), Sınıf Bilinmiyor (3), Headstand Pose (3), Corpse Pose (1), Tree Pose (1)"
24,Firefly Pose,0.00,0,55,"Sınıf Bilinmiyor (16), Warrior III Pose (10), Handstand Pose (7), Dolphin Plank Pose (5), Standing Forward Bend (3)"
25,Fish Pose,8.45,6,71,"Corpse Pose (14), Sınıf Bilinmiyor (13), Reclining Hand-to-Big-Toe Pose (13), Child Pose (6), Plow Pose (4)"
26,Four-Limbed Staff Pose,3.85,2,52,"Plank Pose (30), Dolphin Plank Pose (12), Sınıf Bilinmiyor (7), Cat Cow Pose (1)"
27,Frog Pose,2.22,1,45,"Side-Reclining Leg Lift Pose (8), Pigeon Pose (6), Reclining Hand-to-Big-Toe Pose (6), Sınıf Bilinmiyor (6), Dolphin Plank Pose (5)"
28,Garland Pose,3.39,2,59,"Bound Angle Pose (16), Sınıf Bilinmiyor (16), Child Pose (10), Frog Pose (6), Easy Sitting Pose (3)"
29,Gate Pose,3.45,1,29,"Extended Puppy Pose (15), Warrior III Pose (4), Sınıf Bilinmiyor (3), Pigeon Pose (1), Dolphin Plank Pose (1)"
30,Half Lord of the Fishes Pose,5.00,4,80,"Bharadvaja's Twist (24), Easy Sitting Pose (16), Sınıf Bilinmiyor (14), Bound Angle Pose (12), Pigeon Pose (5)"
31,Half Moon Pose,0.00,0,59,"Warrior III Pose (20), Sınıf Bilinmiyor (11), Standing Forward Bend (11), Handstand Pose (8), Half Lord of the Fishes Pose (7)"
32,Handstand Pose,94.00,47,50,"Sınıf Bilinmiyor (2), Standing Forward Bend (1)"
33,Happy Baby Pose,42.86,15,35,"Plow Pose (8), Reclining Hand-to-Big-Toe Pose (6), Sınıf Bilinmiyor (3), Corpse Pose (2), Bound Angle Pose (1)"
34,Head-to-Knee Forward Bend,4.08,2,49,"Child Pose (15), Happy Baby Pose (10), Sınıf Bilinmiyor (7), Bound Angle Pose (7), Pigeon Pose (4)"
35,Heron Pose,0.00,0,37,"Happy Baby Pose (17), Sınıf Bilinmiyor (6), Standing Forward Bend (2), Seated Forward Bend (2), Reclining Hand-to-Big-Toe Pose (1)"
36,Intense Side Stretch Pose,2.50,1,40,"Downward-Facing Dog (12), Standing Forward Bend (11), Sınıf Bilinmiyor (8), Extended Puppy Pose (3), Camel Pose (1)"
37,Legs-Up-the-Wall Pose,56.86,29,51,"Plow Pose (11), Sınıf Bilinmiyor (7), Reclining Hand-to-Big-Toe Pose (2), Corpse Pose (1), Upward Bow (Wheel) Pose (1)"
38,Locust Pose,6.12,3,49,"Sınıf Bilinmiyor (13), Side-Reclining Leg Lift Pose (4), Warrior III Pose (4), Plow Pose (3), Cobra Pose (3)"
39,Lord of the Dance Pose,1.90,2,105,"Standing Forward Bend (61), Warrior III Pose (22), Sınıf Bilinmiyor (10), Tree Pose (5), Half Lord of the Fishes Pose (2)"
40,Low Lunge Pose,24.24,16,66,"Extended Puppy Pose (20), Warrior III Pose (9), Sınıf Bilinmiyor (7), Pigeon Pose (2), Split Pose (2)"
41,Noose Pose,0.00,0,10,"Sınıf Bilinmiyor (5), Child Pose (2), Bharadvaja's Twist (2), Standing Forward Bend (1)"
42,Peacock Pose,2.50,1,40,"Dolphin Plank Pose (14), Handstand Pose (10), Sınıf Bilinmiyor (7), Warrior III Pose (5), Plank Pose (2)"
43,Pigeon Pose,0.00,0,10,"Downward-Facing Dog (4), Child Pose (2), Upward Bow (Wheel) Pose (1), Low Lunge Pose (1), Sınıf Bilinmiyor (1)"
44,Plank Pose,35.71,5,14,"Dolphin Plank Pose (7), Sınıf Bilinmiyor (2)"
45,Plow Pose,65.75,48,73,"Upward Bow (Wheel) Pose (6), Reclining Hand-to-Big-Toe Pose (5), Sınıf Bilinmiyor (5), Bridge Pose (4), Split Pose (1)"
46,Sage Koundinya Pose,0.00,0,38,"Handstand Pose (15), Sınıf Bilinmiyor (8), Dolphin Plank Pose (5), Warrior III Pose (4), King Pigeon Pose (2)"
47,King Pigeon Pose,13.56,8,59,"Sınıf Bilinmiyor (12), Bound Angle Pose (9), Bharadvaja's Twist (7), Half Lord of the Fishes Pose (4), Camel Pose (3)"
48,Reclining Hand-to-Big-Toe Pose,72.97,27,37,"Sınıf Bilinmiyor (5), Plow Pose (1), Corpse Pose (1), Legs-Up-the-Wall Pose (1), Bridge Pose (1)"
49,Revolved Head-to-Knee Pose,5.77,3,52,"Sınıf Bilinmiyor (15), Happy Baby Pose (8), Reclining Hand-to-Big-Toe Pose (6), Bharadvaja's Twist (3), Side-Reclining Leg Lift Pose (2)"
