path,raw_output,true_class_id,true_class_name,predicted_class_id,predicted_class_name
Akarna_Dhanurasana/16.jpg,"Description: The individual is in a yoga pose with one leg extended outward and supported by the foot. The opposite leg is bent, with the foot being held by one hand. The other arm extends backward, reaching toward the head. This pose emphasizes balance and flexibility, with the body forming an asymmetrical, contorted shape.

Predicted Yoga Pose: Akarna Dhanurasana",0,Akarna Dhanurasana,0,Akarna Dhanurasana
Akarna_Dhanurasana/95.jpg,"Description: The image displays a sequence of three stages of a yoga pose. The individual starts in a seated position, extends one leg out and bends the other, then works on bending the extended leg to bring the foot towards the opposite knee. This progression shows a focus on flexibility and balance.

Predicted Yoga Pose: Baddha Konasana (Bound Angle Pose)

However, based on the movement and final positioning, especially the positioning of the leg and foot, the pose aligns more closely with:

Predicted Yoga Pose: Supta Padangusthasana (Reclining Hand-to-Big-Toe Pose or maybe its preparatory movements to a seated forward bend).",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/263.jpg,"Description: The image shows a person on a sandy beach near a thatched hut, stretching with one hand touching the foot of the opposite leg, which is lifted and bent at the knee. The individual is sitting on the ground in a posture that involves extending the arms and legs, indicative of a relaxing or stretching position.

Predicted Yoga Pose: Happy Baby Pose",0,Akarna Dhanurasana,33,Happy Baby Pose
Akarna_Dhanurasana/110.jpg,"The image shows a series of vertical colored bars, with no explicit body positions, orientations, or posture features present. Thus, it cannot be used to predict any yoga pose from the provided list of yoga pose classes.

Description: The image consists of vertical colored bars in the following sequence: light blue, white, light teal, yellow, orange, green, dark blue, black, red, and light green.
Predicted Yoga Pose: N/A",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/21.jpg,"Description: The person is seated with one leg extended forward and the other bent, with the foot placed close to the inner thigh of the extended leg. They are twisting their torso to one side, reaching one hand back to grasp the raised foot or ankle, while the other arm extends forward, maintaining a balanced posture. This posture is characterized by the combination of a twist in the torso and a leg stretch.

Predicted Yoga Pose: Happy Baby Pose",0,Akarna Dhanurasana,33,Happy Baby Pose
Akarna_Dhanurasana/55.jpg,"Description: The individual is seated on the floor with one leg bent and placed on the opposite thigh while the other leg remains extended straight outward. The opposite arm is wrapped around the raised leg, bringing the fingers near the head or reaching toward the foot, creating a dynamic spiral effect with the body forming an asymmetrical loop. This pose emphasizes flexibility and balance, especially in the rotational muscles of the torso and hips.

Predicted Yoga Pose: Bharadvaja's Twist",0,Akarna Dhanurasana,1,Bharadvaja's Twist
Akarna_Dhanurasana/34.jpg,"Description: The person is in a yoga pose with one leg extended backward and the same-side arm also extended backward, while the opposite arm reaches forward, touching the forward foot. The torso is twisted with a clear side stretch and the head is turned to the side.

Predicted Yoga Pose: Extended Side Angle Pose",0,Akarna Dhanurasana,20,Extended Puppy Pose
Akarna_Dhanurasana/107.jpg,"Description: The image depicts a person performing a seated yoga pose on a mat in an open grassy park. The person is shirtless and wearing white pants. They are sitting with one leg bent and the foot placed near the opposite hip, while the other leg is extended straight out and held by the hand. The spine is upright, and the person is twisting their torso to look over their shoulder, placing one arm behind the head while the other reaches towards the extended foot.

Predicted Yoga Pose: Revolved Head-to-Knee Pose",0,Akarna Dhanurasana,49,Revolved Head-to-Knee Pose
Akarna_Dhanurasana/92.jpg,HATA: cannot identify image file '/home/gpu1/computer_vision/micro-action-recognition/Yoga-82/dataset/Akarna_Dhanurasana/92.jpg',0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/39.jpg,"Description: In the image, the individual is seated on a mat in a grassy area, performing a yoga pose. The person is sitting upright with their legs bent and feet placed against their opposite thighs, creating a diamond shape between their legs. One arm is wrapped behind and around the opposite leg, pulling it close to the body, while their other hand supports their head. Their spine is twisted, creating a rotational movement in the torso, with the head turned to look over the raised shoulder.

Predicted Yoga Pose: Bharadvaja's Twist",0,Akarna Dhanurasana,1,Bharadvaja's Twist
