path,raw_output,true_class_id,true_class_name,predicted_class_id,predicted_class_name,predicted_class_id,predicted_class_name,predicted_class_id,predicted_class_name,predicted_class_id,predicted_class_name
Akarna_Dhanurasana/16.jpg,"Descriptioniption: The person is performing an advanced backbend yoga pose. The right leg is extended backward and the left leg is bent out to the side, touching the right hand. The left arm is stretched downward to grasp the right foot, while the right arm is wrapped around the neck, supporting the head. The torso is ared back with both hands supporting this position, creating a curve similar to a bow.

Predicted Yoga Pose: Akarna Dhanurasana",0,Akarna Dhanurasana,0,Akarna Dhanurasana,0,Akarna Dhanurasana,0,Akarna Dhanurasana,0,Akarna Dhanurasana
Akarna_Dhanurasana/95.jpg,"Descriptioniption: The image shows a sequence of three progressive steps depicting an individual performing a seated forward bend. In the first image, the person is seated with one leg stretched straight and the other leg bent, reaching the toes gently with the hand to elongate the back leg. In the second image, the person transitions into a more intense forward bend by grabbing the foot of the bent leg, keeping the back leg straight. In the third image, the person deepens the bend further by pulling the head and back leg closer to the torso, maintaining balance on one foot while holding the foot with the other hand.

Predicted Yoga Pose: Bound Angle Pose (Baddhaa Konasasana)

Based on the movements and positioning, the sequence resembles variations of the Bound Angle Pose, where one sits with the soles of their feet together and allows their knees to drop toward the floor. The description shows elements of stretching and deepening the forward bend, aligning with the essence of this yoga pose.",0,Akarna Dhanurasana,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose
Akarna_Dhanurasana/263.jpg,"Descriptionition: The person is in a yoga pose on the beach. They are sitting on the sand with one leg bent and the foot placed against the opposite thigh. The other leg is extended, and the arms are reaching back, nearly touching the foot of the bent leg. The upper body leans forward, creating a stretch along the entire side of the body. The pose involves a twist, and the back is curved to accommodate the stretch. The pose appears balanced, with the feet firmly on the ground.

Predicted Yoga Pose: Camel Pose

Explanation: The pose matches the description of the Camel Pose (Ustrasana). The person is sitting with legs extended and feet pushed back while grasping the heels; the body is arched backward, and the arms reach back over the feet, creating a deep stretch across the chest and back.",0,Akarna Dhanurasana,6,Camel Pose,6,Camel Pose,6,Camel Pose,6,Camel Pose
Akarna_Dhanurasana/110.jpg,"Descriptionption: The image shows a vertical, multi-colored striped pattern with no distinguishable body parts, orientation, or posture features. The pattern includes alternating colors such as light blue, white, red, yellow, teal, black, orange, and lime green.

Predicted Yoga Pose: None, as the image does not depict a yoga pose.",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/21.jpg,"Descriptionition: The person in the image is seated with one leg stretched out horizontally to the side while the other leg is bent, with the foot resting on their inner thigh. The person's arms are involved in maintaining balance; their right arm extends to reach the big toe of the bent leg, and the left hand appears to be reaching upwards or supporting their torso. The overall posture involves a combination of flexibility and balance, stretching the hamstrings and hip muscles.

Predicted Yoga Pose: Split Pose",0,Akarna Dhanurasana,58,Split Pose,58,Split Pose,58,Split Pose,58,Split Pose
Akarna_Dhanurasana/55.jpg,"Descriptioniption: The individual is in a seated position with one knee bent and brought towards their chest, creating a circular motion with their arms. One hand grasps the extended foot while the other hand supports behind the knee. The posture shows show significant flexibility and balance with the body in a deep, controlled twist. The hips are turned, and the spine is elongated while maintaining a stable base on one foot. 

Predicted Yoga Pose: Garland Pose",0,Akarna Dhanurasana,28,Garland Pose,28,Garland Pose,28,Garland Pose,28,Garland Pose
Akarna_Dhanurasana/34.jpg,"Descriptioniption: The individual is in a one-legged balance pose. They are seated on the floor with one leg extended and the other leg bent at the knee, with the foot placed on the floor near the opposite wrist. Their trunk is leaning back slightly, with hands placed behind their head, supporting the head and neck. The individual's torso is stretched out, and the opposite arm is stretched forward to assist in balancing.

Predicted Yoga Pose: One-Legged Forward Bend (E4)",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/107.jpg,"Descriptioniption: The individual in the image is in a seated position with their back to the viewer, facing towards the left side of the frame. One leg is extended straight out on the mat, while the other leg is bent with the foot being held by their hand near the back of their head. Their torso is twisted away from the straight leg. The pose appears to be stretching from the hip joint towards the opposite shoulder, indicating a focus on hip flexibility and spinal twist.

Predicted Yoga Pose: Seated Forward Bend (Paschimamadasana)",0,Akarna Dhanurasana,52,Seated Forward Bend,52,Seated Forward Bend,52,Seated Forward Bend,52,Seated Forward Bend
Akarna_Dhanurasana/92.jpg,HATA: cannot identify image file '/home/gpu1/computer_vision/micro-action-recognition/Yoga-82/dataset/Akarna_Dhanurasana/92.jpg',0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/39.jpg,"Descriptioniption: The person is sitting with one leg bent and the foot placed on top of the opposite thigh, while the other leg is stretched out behind with one hand holding the foot. The torso is slightly leaning forward, and the knees are wide apart. The upper body is slightly rotated forward, providing a stretch to the inner thigh and groin area. The posture appears balanced and controlled.

Predicted Yoga Pose: Bound Angle Pose (Baddha Konasana)

Based on the description provided, where the individual is seated with legs apart and feet together, creating a bound angle with the torso slightly forward, the most appropriate pose name is Bound Angle Pose (Baddha Konasana).",0,Akarna Dhanurasana,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose
Akarna_Dhanurasana/680.jpg,"Descriptioniption: The individual is sitting on a yoga mat with one leg extended and the other leg bent and brought close to the torso. The right hand is reaching behind the back and grasping the right big toe, while the left hand supports the elbow near the front thigh. The body is slightly twisted, and the head is turned to the left.

Predicted Yoga Pose: Bow Pose (Dhanurasana)",0,Akarna Dhanurasana,4,Bow Pose,4,Bow Pose,4,Bow Pose,4,Bow Pose
Akarna_Dhanurasana/87.jpg,"Descriptionation: The individual is seated with one leg extended forward and the other leg bent with the foot behind their head. They are holding their ankle with one hand while extending the other arm forward. This posture balances the stretch on the foot and leg behind the head with an alignment through the torso.

Predicted Yoga Pose: Bound Angle Pose",0,Akarna Dhanurasana,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose
Akarna_Dhanurasana/160.jpg,"Descriptionition: The image shows a person in a yoga pose, with their body positioned in a seated manner. The individual is extending one leg straight out with the foot touching the opposite hand, creating an inverted ""V"" shape with the legs. The other hand is placed on the ground supporting the body, while the other extended leg's foot is held behind. The torso is slightly leaning forward, and the arms are reaching back to hold the opposite foot. 

Predicted Yoga Pose: Bow Pose (Dhanurasana)",0,Akarna Dhanurasana,4,Bow Pose,4,Bow Pose,4,Bow Pose,4,Bow Pose
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/40.jpg,"Descriptioniption: The person is sitting on the floor with their legs crossed in a seated position. Their left arm is bent, with the hand resting behind their back while their right arm extends forward, resting on the floor. The posture appears relaxed yet balanced, with the torso upright and looking straight ahead.

Predicted Yoga Pose: Bound Angle Pose (Baddhaa Konasasana)",1,Bharadvaja's Twist,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/8.jpg,"Descriptioniption: The individual is seated with their legs spread wide in a seated wide-legged position, known as Vajrasana or Thunderbolt Pose. They have their hands resting on their knees, with their palms facing upward and fingers touching. The back is upright, and the gaze is forward. This pose is typically performed on a yoga mat or floor surface.

Predicted Yoga Pose: Seated Wide-Legged Pose

Based on the description of the individual with legs spread wide and hands resting on their knees, the pose appears to be ""Seated Wide-Legged Pose.""",1,Bharadvaja's Twist,52,Seated Forward Bend,52,Seated Forward Bend,52,Seated Forward Bend,52,Seated Forward Bend
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/635.jpg,"Descriptioniation: The person in the image is sitting with their legs bent to one side and hands behind their back, reaching between their legs. Their head is turned to the side, looking away from their torso. The position of their legs and hands suggests a seated forward bend with a twist.

Predicted Yoga Pose: Bound Angle Pose",1,Bharadvaja's Twist,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/126.jpg,"Descriptioniption: The individual is seated on the floor with their back straight and legs extended forward. Both feet are placed together and pulled towards the chest, then held onto with both hands. The body is leaning slightly forward in a seated position, with arms hugging the legs. This position highlights flexibility in the hips and inner thighs.

Predicted Yoga Pose: Bound Angle Pose",1,Bharadvaja's Twist,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/139.jpg,"Descriptioniption: The image shows a person practicing a yoga pose. They are seated with one leg bent and the other leg extended back. The person is holding onto their bent leg with one hand and reaching towards their shin with the other. Their torso is twisted, and their gaze is directed forward, enhancing the side stretch. The overall posture indicates they are engaging in an advanced seated twist.

Predicted Yoga Pose: Bound Angle Pose (Baddha Konasana)

Note: While the pose closely resembles the Bound Angle Pose, the twist and leg positioning create it more specific to an advanced seated twist, often part of more complex sequences.",1,Bharadvaja's Twist,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose,3,Bound Angle Pose
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/499.jpg,"Descriptionition: The person is seated on a blue yoga mat with legs crossed in a relaxed manner. The upper body is straight, supported by resting the hands on the knees and thighs. The neck and head are in line with the spine, showing a neutral position. This pose resembles a seated meditation position, where the emphasis is on relaxation and mindfulness.

Predicted Yoga Pose: Seated Forward Bend (Passive)

To",1,Bharadvaja's Twist,52,Seated Forward Bend,52,Seated Forward Bend,52,Seated Forward Bend,52,Seated Forward Bend
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/444.jpg,"Descriptioniption: The individual is sitting on the floor with one leg extended to the side and the other leg bent, foot placed near the opposite thigh. The torso is leaning to one side, holding the extended leg's foot with one hand, creating a twisting motion. The person's other body is facing forward while the head turns slightly toward the camera, maintaining a balanced posture with one arm stretched out holding the foot.

Predicted Yoga Pose: Bharadvaja's Twist",1,Bharadvaja's Twist,1,Bharadvaja's Twist,1,Bharadvaja's Twist,1,Bharadvaja's Twist,1,Bharadvaja's Twist
