path,raw_output,true_class_id,true_class_name,predicted_class_id,predicted_class_name
Akarna_Dhanurasana/16.jpg,"Description : A man in a yoga pose with his legs bent and arms resting on his knees.
Predicted Yoga Pose : Plow Pose",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/95.jpg,"Description : A man is in a seated position with his legs crossed, resting his left arm on his left knee and his right arm on his right knee.
Predicted Yoga Pose : Cross-Legged Seated Pose",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/263.jpg,"Description : The man is stretching his arms out to the sides while lying on his stomach, with his legs bent at the knees.
Predicted Yoga Pose : Bound Angle Pose",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/110.jpg,"Description : Red, orange, yellow, and brown stripes on a white background.
Predicted Yoga Pose : Boat Pose",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/21.jpg,"Description: The woman is in a seated position with her legs crossed, with one leg extended in front of the other.
Predicted Yoga Pose: Seated Forward Bend",0,Akarna Dhanurasana,52,Seated Forward Bend
Akarna_Dhanurasana/55.jpg,"Description : A man in a yoga pose with his legs stretched out in front of him.
Predicted Yoga Pose : Bridge Pose",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/34.jpg,"Description: The man is in a seated position with his legs crossed and one leg bent at the knee while the other is straight. His right arm is resting on his thigh, and his left arm is extended towards the ceiling.
Predicted Yoga Pose: Camel Pose",0,Akarna Dhanurasana,6,Camel Pose
Akarna_Dhanurasana/107.jpg,"Description: The man is sitting cross-legged on a mat, with his legs bent and crossed over each other. His arms are extended out to the sides, and his hands are resting on his knees.
Predicted Yoga Pose: Extended Side Angle Pose",0,Akarna Dhanurasana,20,Extended Puppy Pose
Akarna_Dhanurasana/92.jpg,HATA: cannot identify image file '/home/gpu1/computer_vision/micro-action-recognition/Yoga-82/dataset/Akarna_Dhanurasana/92.jpg',0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/39.jpg,"Description : The man is in a seated position on a yoga mat, with his legs crossed and hands resting on his knees. He is wearing a necklace and appears to be in a meditative state.
Predicted Yoga Pose : Brahmachari (Corpse Pose)",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
