Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
0,Akarna Dhanurasana,4.35,1,23,"Sınıf Bilinmiyor (16), Wide-Legged Forward Bend (2), Seated Forward Bend (1), Camel Pose (1), Extended Puppy Pose (1)"
1,Bharadvaja's Twist,0.00,0,16,"Sınıf Bilinmiyor (11), Half Lord of the Fishes Pose (2), Eagle Pose (1), Camel Pose (1), Seated Forward Bend (1)"
2,Boat Pose,2.17,2,92,"Sınıf Bilinmiyor (65), Wide-Legged Forward Bend (6), Half Lord of the Fishes Pose (3), Seated Forward Bend (2), Bound Angle Pose (2)"
3,Bound Angle Pose,7.69,5,65,"Sınıf Bilinmiyor (46), Half Lord of the Fishes Pose (3), Bow Pose (2), Seated Forward Bend (2), Extended Puppy Pose (2)"
4,Bow Pose,6.00,3,50,"Sınıf Bilinmiyor (31), Extended Puppy Pose (3), Bound Angle Pose (2), Seated Forward Bend (2), Eagle Pose (2)"
5,Bridge Pose,14.04,8,57,"Sınıf Bilinmiyor (37), Bound Angle Pose (4), Half Lord of the Fishes Pose (2), Warrior III Pose (1), Reclining Hand-to-Big-Toe Pose (1)"
6,Camel Pose,0.00,0,75,"Sınıf Bilinmiyor (57), Bound Angle Pose (3), Bow Pose (3), Half Lord of the Fishes Pose (2), Extended Puppy Pose (2)"
7,Cat Cow Pose,1.06,1,94,"Sınıf Bilinmiyor (67), Bound Angle Pose (9), Wide-Legged Forward Bend (3), Seated Forward Bend (3), Half Lord of the Fishes Pose (2)"
8,Chair Pose,4.55,3,66,"Sınıf Bilinmiyor (52), Eagle Pose (3), Camel Pose (1), Upward Bow (Wheel) Pose (1), Easy Sitting Pose (1)"
9,Child Pose,0.00,0,72,"Sınıf Bilinmiyor (53), Bound Angle Pose (4), Downward-Facing Dog (2), Camel Pose (2), Plow Pose (2)"
10,Cobra Pose,1.55,3,193,"Sınıf Bilinmiyor (134), Wide-Legged Forward Bend (12), Seated Forward Bend (5), Half Lord of the Fishes Pose (5), Plank Pose (4)"
11,Cockerel Pose,0.00,0,38,"Sınıf Bilinmiyor (31), Half Lord of the Fishes Pose (2), Camel Pose (1), Bound Angle Pose (1), Chair Pose (1)"
12,Corpse Pose,0.00,0,53,"Sınıf Bilinmiyor (40), Wide-Legged Forward Bend (4), Bound Angle Pose (2), Plow Pose (2), Reclining Hand-to-Big-Toe Pose (1)"
13,Cow Face Pose,1.52,1,66,"Sınıf Bilinmiyor (48), Bound Angle Pose (5), Eagle Pose (2), Standing Forward Bend (2), Camel Pose (2)"
